Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1000,Male,Yes,0,Graduate,No,13929,0,300037.0,360.0,1.0,Semiurban,Y
LP1001,nan,Yes,nan,Graduate,No,2996,841,150037.63084751953,360.0,1.0,Urban,Y
LP1002,Female,Yes,1,Graduate,No,5570,3503,149960.70050425848,360.0,1.0,Semiurban,N
LP1003,Female,No,3+,Graduate,No,5915,2877,149991.01467400012,240.0,1.0,Rural,N
LP1004,Male,Yes,0,Graduate,No,5839,1779,150022.00208396098,360.0,1.0,Semiurban,N
LP1005,Male,Yes,3+,Graduate,No,6621,2026,149961.26622180545,180.0,1.0,Urban,Y
LP1006,Male,Yes,0,Graduate,nan,6250,2208,150004.21502024584,360.0,1.0,Rural,Y
LP1007,Female,Yes,0,Graduate,nan,5688,-41,149946.63898020328,360.0,1.0,Semiurban,Y
LP1008,Female,Yes,nan,Graduate,No,4894,1752,149975.94529424194,240.0,,Semiurban,Y
LP1009,Female,Yes,0,Graduate,No,2508,1318,150012.7912773657,360.0,1.0,Semiurban,Y
LP1010,Male,Yes,0,Graduate,nan,5644,998,149936.28025065875,360.0,1.0,Semiurban,Y
LP1011,nan,Yes,nan,Not Graduate,nan,5311,1718,150017.6189895184,360.0,1.0,Semiurban,Y
LP1012,Female,Yes,nan,Graduate,No,5407,3797,149999.21448804293,,1.0,Rural,Y
LP1013,Male,Yes,1,Graduate,nan,3084,2640,150022.0995981767,240.0,1.0,Rural,Y
LP1014,Male,No,2,Not Graduate,nan,3378,1428,150008.95656536258,360.0,,Rural,Y
LP1015,Male,Yes,1,Not Graduate,No,6579,0,150054.56561719894,360.0,1.0,Rural,Y
LP1016,Male,Yes,0,Graduate,No,4940,3399,150005.00898010592,360.0,1.0,Urban,Y
LP1017,Female,No,0,Graduate,No,6022,2924,149982.823778355,240.0,1.0,Rural,Y
LP1018,Male,Yes,2,Not Graduate,Yes,5042,2059,150004.8919001213,180.0,1.0,Semiurban,N
LP1019,Male,No,2,Not Graduate,No,5044,1353,150021.73192116147,360.0,1.0,Semiurban,Y
LP1020,Female,Yes,2,Graduate,nan,6407,2698,150001.95440281302,360.0,1.0,Rural,Y
LP1021,Male,Yes,2,Graduate,Yes,4225,2393,150001.62366764815,360.0,1.0,Semiurban,Y
LP1022,Male,Yes,0,Graduate,No,5144,2895,149971.92033248773,180.0,1.0,Rural,N
LP1023,Male,Yes,1,Graduate,No,4306,2635,149973.48396329797,240.0,1.0,Semiurban,Y
LP1024,Female,Yes,0,Graduate,No,4348,3049,149943.895789128,360.0,,Urban,Y
LP1025,Female,Yes,1,Graduate,nan,4536,1464,150069.9830697275,360.0,1.0,Urban,Y
LP1026,Male,nan,1,Graduate,No,5333,3317,149950.24547058434,360.0,1.0,Rural,Y
LP1027,Female,Yes,3+,Not Graduate,No,4281,2197,149972.28379208816,,1.0,Rural,Y
LP1028,Female,No,0,Graduate,No,6883,4075,149971.26370937724,360.0,1.0,Rural,Y
LP1029,Male,Yes,0,Graduate,No,3658,1310,150035.79697507777,240.0,0.0,Semiurban,N
LP1030,Female,No,0,Not Graduate,No,4719,0,,180.0,1.0,Rural,Y
LP1031,Male,Yes,2,Not Graduate,No,4340,2197,150049.90968290696,360.0,1.0,Urban,N
LP1032,Male,Yes,2,Graduate,No,7170,1348,149973.06037503024,360.0,,Semiurban,Y
LP1033,nan,Yes,0,Graduate,No,5294,1516,150011.15976648894,360.0,1.0,Rural,Y
LP1034,nan,Yes,0,Graduate,No,6547,1679,149966.58611786962,180.0,,Semiurban,N
LP1035,Female,No,2,Graduate,No,2771,2424,150085.80596511092,240.0,1.0,Semiurban,Y
LP1036,Male,Yes,0,Graduate,nan,5400,2522,149952.49606323882,180.0,1.0,Rural,Y
LP1037,Male,Yes,3+,Graduate,No,6334,1426,150012.3928284091,360.0,1.0,Semiurban,Y
LP1038,Female,Yes,2,Graduate,No,5123,1975,150025.3510752373,360.0,1.0,Urban,Y
LP1039,Male,Yes,0,Graduate,No,6598,4142,150016.55196389806,,,Urban,Y
LP1040,Male,nan,0,Graduate,Yes,4224,3727,149992.5884936449,240.0,1.0,Semiurban,Y
LP1041,Female,nan,nan,Graduate,No,7114,2436,149994.80717201065,360.0,1.0,Rural,Y
LP1042,Male,nan,0,Graduate,No,8448,2038,150001.75245887917,,1.0,Semiurban,Y
LP1043,nan,Yes,0,Graduate,nan,4455,2120,149994.11991993486,180.0,1.0,Urban,Y
LP1044,Male,Yes,3+,Graduate,No,4331,2613,150038.5551646718,360.0,1.0,Semiurban,Y
LP1045,Female,nan,nan,Not Graduate,No,7180,0,150088.42092006365,240.0,,Semiurban,Y
LP1046,Male,Yes,nan,Graduate,Yes,7369,1742,149977.7003285997,120.0,1.0,Urban,Y
LP1047,Female,nan,2,Graduate,nan,4215,331,149945.20788081683,180.0,1.0,Semiurban,Y
LP1048,Female,nan,0,Not Graduate,No,4369,2399,149996.46871806594,360.0,1.0,Semiurban,Y
LP1049,Male,No,0,Graduate,No,4577,2647,150103.1883735062,360.0,1.0,Rural,N
LP1050,nan,Yes,2,Graduate,Yes,12127,1516,300014.0,,1.0,Rural,Y
LP1051,Female,Yes,1,Graduate,No,3622,3573,150065.56467221776,360.0,1.0,Urban,Y
LP1052,nan,No,1,Graduate,No,3493,774,150067.10803256306,360.0,0.0,Urban,Y
LP1053,Female,Yes,nan,Not Graduate,nan,3848,535,149977.85647033167,360.0,1.0,Urban,Y
LP1054,Female,Yes,0,Graduate,No,4947,2224,150022.7593231674,360.0,1.0,Rural,Y
LP1055,nan,Yes,1,Graduate,No,5351,3047,150065.13586492513,180.0,1.0,Urban,N
LP1056,Male,nan,0,Graduate,Yes,7325,3683,149984.8348903605,,0.0,Urban,Y
LP1057,Male,Yes,1,Graduate,No,3502,1541,149991.8567855959,360.0,1.0,Urban,N
LP1058,Male,Yes,0,Graduate,No,6476,3078,149976.73276344207,360.0,1.0,Rural,N
LP1059,Male,Yes,0,Graduate,Yes,4679,1961,149959.40973077228,360.0,1.0,Semiurban,N
LP1060,Male,Yes,0,Graduate,No,4925,0,,120.0,1.0,Urban,N
LP1061,Male,nan,2,Not Graduate,No,6012,2883,149951.04238932952,180.0,1.0,Semiurban,Y
LP1062,Female,Yes,2,Graduate,No,3315,2652,150001.36333873036,360.0,1.0,Urban,Y
LP1063,Male,Yes,1,Graduate,No,5573,423,149969.20107075764,120.0,1.0,Semiurban,Y
LP1064,Male,No,nan,Graduate,No,5249,3476,150009.35143647162,120.0,1.0,Rural,Y
LP1065,Female,No,0,Graduate,No,5738,3380,149937.76417415185,120.0,,Rural,Y
